Index Number,Cycle Number,Experiment Number,MS Level,Total Ion Current,Scan Start Time (min),Selected Ion m/z
390,47,4,2,729890.5579297,0.244333333333,518.322262276135
391,47,5,2,86836.9828645369,0.24465,522.35618612337
392,47,6,2,9357.61877840304,0.244983333333,527.183590334405
393,47,7,2,11392.7221653003,0.2453,580.293516942293
394,47,8,2,11859.4512705411,0.245633333333,602.282137482773
395,47,9,2,13297.4266798637,0.245966666667,1013.65266495822
396,48,1,1,2607696.744034,0.247983333333,
397,48,2,2,12558.4668781243,0.24885,285.290921930056
398,48,3,2,14908.298194382,0.249183333333,371.316369151084
399,48,4,2,16889.9260860537,0.2495,511.208029278514
400,48,5,2,279950.9312521,0.249833333333,534.291229617253
401,48,6,2,46601.3384843059,0.25015,546.356187119205
402,48,7,2,19199.7335132989,0.250483333333,654.295596088032
403,48,8,2,9572.58597118409,0.250816666667,684.202563388194
404,48,9,2,3712.443635881,0.251133333333,991.667444775951
405,49,1,1,2484803.946795,0.25315,
406,49,2,2,776915.1996992,0.254,497.304508140582
407,49,3,2,24607.757815811,0.254316666667,536.162712445973
408,49,4,2,24465.0224148221,0.25465,544.339876711979
409,49,5,2,5007.84071653945,0.254966666667,562.312551849571
410,49,6,2,83203.9939292318,0.2553,586.310326109306
411,49,7,2,6424.9599898951,0.255616666667,610.181676204635
412,49,8,2,6286.49454419484,0.25595,766.527697700756
413,49,9,2,7483.1057077669,0.256266666667,984.56238920857
414,50,1,1,1848183.890382,0.258283333333,
415,50,2,2,2346.55559908228,0.259133333333,447.344437395514
416,50,3,2,12260.000984471,0.25945,560.309857210812
417,50,4,2,2024.18673040383,0.259783333333,567.357119651816
418,50,5,2,8398.40053711329,0.2601,612.324320551184
419,50,6,2,7315.95535583085,0.260433333333,634.451611142149
420,50,7,2,6912.24212459197,0.26075,722.50412531707
421,50,8,2,3544.19932720656,0.261083333333,744.16347709763
422,50,9,2,9282.20494534203,0.2614,758.226154264143
423,51,1,1,1891025.442876,0.263416666667,
424,51,2,2,26259.3114267955,0.264283333333,270.279724740813
425,51,3,2,10109.1929711138,0.2646,478.328183296084
426,51,4,2,76760.3113309403,0.264933333333,489.228273941017
427,51,5,2,161280.951848,0.265233333333,496.340743787399
428,51,6,2,9235.53254066397,0.26555,499.348217210673
429,51,7,2,141096.9731577,0.265883333333,506.253502081249
430,51,8,2,190074.3397461,0.2662,529.39953889811
431,51,9,2,51472.1898180682,0.266533333333,551.381792489797
432,52,1,1,1554632.480003,0.26855,
433,52,2,2,7834.07963887093,0.269433333333,295.189365340924
434,52,3,2,3172.49335124965,0.26975,369.170641362738
435,52,4,2,16952.7459690906,0.270083333333,393.299446496041
436,52,5,2,19748.1655788495,0.270416666667,426.357860715327
437,52,6,2,86357.3085101638,0.270733333333,518.322312898932
438,52,7,2,941911.4926752,0.271066666667,522.356186766897
439,52,8,2,9976.16433956886,0.271383333333,525.365325594865
440,52,9,2,6219.05839362088,0.271716666667,527.184963649866
441,53,1,1,1743471.489037,0.273733333333,
442,53,2,2,12549.0147503077,0.2747,285.289288028494
443,53,3,2,4951.62423996031,0.275016666667,371.315795800861
444,53,4,2,34430.8983896168,0.27535,480.344774551492
445,53,5,2,4961.63019400798,0.275666666667,504.345296374803
446,53,6,2,44657.0892157729,0.276,534.290570896803
447,53,7,2,8178.3940854781,0.276316666667,572.371451603936
448,53,8,2,4167.1662976209,0.27665,628.296357971441
449,53,9,2,12136.0409004885,0.276966666667,684.202031100618
450,54,1,1,1223354.951974,0.279,
451,54,2,2,15919.1694020466,0.2799,273.205975498977
452,54,3,2,6766.58085101798,0.280216666667,409.272693962601
453,54,4,2,5000.42338937127,0.28055,502.325623185167
454,54,5,2,18839.7478595108,0.280866666667,510.357433846784
455,54,6,2,253855.6995454,0.2812,544.338114266116
456,54,7,2,10807.1791489897,0.281516666667,586.309420868181
457,54,8,2,7101.61075920125,0.28185,610.186109882912
458,54,9,2,4423.81948935739,0.282166666667,617.384988189366
459,55,1,1,846679.4904868,0.284166666667,
460,55,2,2,8699.17866678511,0.285083333333,251.045652572307
461,55,3,2,23383.8165710753,0.285416666667,482.359944580588
462,55,4,2,22045.3617520748,0.285733333333,560.311829124142
463,55,5,2,8575.41784039385,0.286066666667,567.352714650028
464,55,6,2,6734.78571930294,0.286383333333,573.361660794344
465,55,7,2,6832.32541630161,0.286716666667,595.372117826431
466,55,8,2,14045.8006248709,0.287033333333,612.32421376192
467,55,9,2,3640.25698023928,0.287366666667,639.396754398044
468,56,1,1,921609.037779,0.289383333333,
469,56,2,2,30111.580147643,0.290383333333,270.279428053506
470,56,3,2,4725.3427450134,0.290716666667,489.227254476643
471,56,4,2,106474.7253198,0.291033333333,496.3403975046
472,56,5,2,32254.4078896132,0.291366666667,529.399814981157
473,56,6,2,10374.994287618,0.291683333333,532.337474929803
474,56,7,2,14781.6688966258,0.292016666667,548.37038744694
475,56,8,2,8647.85899561705,0.292333333333,551.381103277437
476,56,9,2,6664.06084286713,0.292666666667,758.223924324394
477,57,1,1,636537.9290456,0.294683333333,
478,57,2,2,11617.1405096766,0.295666666667,295.187579622183
479,57,3,2,13078.2619326771,0.296,393.29805206764
480,57,4,2,2812.42919144449,0.296333333333,416.373364137944
481,57,5,2,7925.58838453629,0.29665,518.321536532016
482,57,6,2,188172.0182066,0.296983333333,522.355938437834
483,57,7,2,5245.14394433146,0.2973,536.165338302106
484,57,8,2,4167.4868486931,0.297633333333,952.581074127924
485,57,9,2,4007.63257225183,0.29795,996.60481718234
486,58,1,1,599980.9074253,0.299983333333,
